Country Name,Country Code,Time,Time Code,Renewable electricity output (GWh) [4.1.2_REN.ELECTRICITY.OUTPUT],Renewable energy consumption (TJ) [3.1_RE.CONSUMPTION]
France,FRA,1998,YR1998,64767,586657.4
France,FRA,1999,YR1999,75406,593721.4
France,FRA,2000,YR2000,69402,567220.2
France,FRA,2001,YR2001,77738,597108.2
France,FRA,2002,YR2002,64206,539610.1
France,FRA,2003,YR2003,63057,561490.7
France,FRA,2004,YR2004,63940,570263.8
France,FRA,2005,YR2005,56325,548808.1
France,FRA,2006,YR2006,62339,530365.3
France,FRA,2007,YR2007,65909,571542.2
France,FRA,2008,YR2008,73826,649586.9
France,FRA,2009,YR2009,69661,669329.4
France,FRA,2010,YR2010,78195,731191.6
France,FRA,2011,YR2011,64399,617406.4
France,FRA,2012,YR2012,83036,725254.3
France,FRA,2013,YR2013,96672,808277.4
France,FRA,2014,YR2014,91807,736346.1
France,FRA,2015,YR2015,89357,760300.4
France,FRA,2016,YR2016,..,..
Spain,ESP,1997,YR1997,36971,249598.7
Spain,ESP,1998,YR1998,36887,256963.3
Spain,ESP,1999,YR1999,27308,229042.9
Spain,ESP,2000,YR2000,34494,251199.9
Spain,ESP,2001,YR2001,49302,299027.9
Spain,ESP,2002,YR2002,33182,252761.4
Spain,ESP,2003,YR2003,55783,323092.4
Spain,ESP,2004,YR2004,50170,304944.9
Spain,ESP,2005,YR2005,42263,286009.7
Spain,ESP,2006,YR2006,52149,324023.2
Spain,ESP,2007,YR2007,58283,353515.9
Spain,ESP,2008,YR2008,62143,368151.7
Spain,ESP,2009,YR2009,74080,428621.4
Spain,ESP,2010,YR2010,97776,513546.1
Spain,ESP,2011,YR2011,87523,506659.2
Spain,ESP,2012,YR2012,86962,519522.5
Spain,ESP,2013,YR2013,111406,539846.5
Spain,ESP,2014,YR2014,110269,541486.8
Spain,ESP,2015,YR2015,97088,513540.8
Spain,ESP,2016,YR2016,..,..
